ID,mese,annrif,progind,sesso,eta10,staciv4,reg,rip,istr4,condogg,posiz4,ateco3,cond4,ORARIO,RAPP,CODPROF7,progesc,DEST_EIE,DEST_ERE,DEST_EPR,MOTESC,PARTESC,NPARTESC,EMEZZO,TRIM
173,7,2014,1425,1,5,2,40,2,3,1,1,3,1,2,2,3,1,1,3,17,1,1,4,5,3
174,7,2014,1425,1,5,2,40,2,3,1,1,3,1,2,2,3,2,1,4,22,1,1,4,5,3
175,7,2014,1425,1,5,2,40,2,3,1,1,3,1,2,2,3,3,1,4,22,1,1,4,5,3
176,11,2014,1426,2,2,1,50,2,3,3,0,0,3,0,0,0,1,1,5,23,1,2,1,5,4
177,2,2014,1447,2,8,4,40,2,1,3,0,0,4,0,0,0,1,1,4,999,1,2,1,2,1
178,1,2014,1453,1,3,2,180,4,3,3,2,2,2,0,0,5,1,1,18,80,6,1,3,5,1
179,3,2014,1480,1,4,2,130,4,3,1,2,2,1,1,1,5,1,1,13,67,1,1,4,5,1
180,2,2014,1490,2,8,4,50,2,1,3,0,0,4,0,0,0,1,1,5,26,1,1,3,5,1
181,8,2014,1494,2,2,1,70,1,2,2,0,0,2,0,0,0,1,2,125,0,2,1,3,5,3
182,2,2014,1509,1,1,1,30,1,1,0,0,0,0,0,0,0,1,1,3,17,2,1,3,5,1
183,5,2014,1518,2,1,1,80,2,1,0,0,0,0,0,0,0,1,1,8,35,2,1,4,5,2
184,5,2014,1518,2,1,1,80,2,1,0,0,0,0,0,0,0,2,1,8,35,1,1,4,5,2
185,2,2014,1519,2,3,1,110,3,4,1,1,3,1,1,2,2,1,2,122,0,1,2,1,1,1
186,3,2014,1527,2,3,1,60,2,4,2,3,3,2,0,0,2,1,1,5,28,7,1,2,5,1
187,1,2014,1569,1,3,1,50,2,4,1,4,2,1,0,0,2,1,1,5,24,1,2,1,5,1
188,4,2014,1571,2,8,1,150,4,1,3,2,3,4,0,0,6,1,1,15,61,8,1,3,5,2
189,4,2014,1577,2,5,2,40,2,3,1,1,3,1,1,2,2,1,1,4,21,4,1,2,5,2
190,10,2014,1580,2,1,1,40,2,2,0,0,0,0,0,0,0,1,1,4,21,1,1,3,5,4
191,10,2014,1580,2,1,1,40,2,2,0,0,0,0,0,0,0,2,1,4,22,1,1,3,5,4
192,10,2014,1629,1,3,1,30,1,4,3,0,0,3,0,0,0,1,1,1,103,1,1,4,5,4
193,7,2014,1630,1,1,1,50,2,1,0,0,0,0,0,0,0,1,1,5,27,1,1,4,5,3
194,5,2014,1642,1,6,4,50,2,4,1,3,3,1,0,0,2,1,1,3,17,1,1,3,5,2
195,6,2014,1657,1,5,1,20,1,2,1,2,3,1,1,2,4,1,1,1,1,1,2,1,5,2
196,6,2014,1658,2,6,2,40,2,2,1,2,1,1,1,1,5,1,1,4,22,2,2,1,5,2
197,6,2014,1658,2,6,2,40,2,2,1,2,1,1,1,1,5,2,1,4,22,2,2,1,5,2
198,5,2014,1660,2,4,1,80,2,2,1,2,3,1,2,2,4,1,1,3,20,1,1,2,5,2
199,8,2014,1670,2,5,2,30,1,2,1,2,2,1,2,2,5,1,1,3,13,1,1,3,5,3
200,6,2014,1671,1,2,1,80,2,2,3,0,0,3,0,0,0,1,1,12,58,4,2,1,6,2
201,12,2014,1674,1,2,1,150,4,3,2,0,0,2,0,0,0,1,1,15,63,2,1,5,5,4
202,5,2014,1680,2,8,2,100,3,3,3,1,3,4,0,0,2,1,1,10,54,4,2,1,5,2
203,4,2014,1682,1,1,1,50,2,1,0,0,0,0,0,0,0,1,1,6,93,1,1,4,5,2
204,10,2014,1694,2,6,2,40,2,2,3,2,3,2,0,0,6,1,1,5,23,2,1,2,5,4
205,10,2014,1694,2,6,2,40,2,2,3,2,3,2,0,0,6,2,1,5,23,2,1,2,5,4
206,6,2014,1696,1,5,3,140,4,3,1,4,3,1,0,0,6,1,1,12,58,1,2,1,5,2
207,11,2014,1704,2,5,3,140,4,2,2,2,3,2,0,0,5,1,1,15,65,1,2,1,6,4
208,10,2014,1705,2,6,1,110,3,3,3,2,3,4,0,0,2,1,1,10,54,1,2,1,5,4
209,2,2014,1711,1,3,1,80,2,4,1,3,2,1,0,0,2,1,1,8,33,6,1,2,4,1
210,2,2014,1711,1,3,1,80,2,4,1,3,2,1,0,0,2,2,1,8,33,1,1,2,5,1
211,7,2014,1712,1,3,1,80,2,4,1,1,2,1,1,2,2,1,1,8,36,2,1,3,5,3
212,5,2014,1714,2,5,2,180,4,3,1,4,3,1,0,0,4,1,1,18,78,1,1,3,5,2
213,5,2014,1742,2,1,1,120,3,1,0,0,0,0,0,0,0,1,1,12,58,2,1,4,5,2
214,1,2014,1755,1,5,1,40,2,4,1,1,3,1,1,2,2,1,1,4,22,1,2,1,5,1
215,10,2014,1771,2,8,2,40,2,1,3,1,3,4,0,0,6,1,1,5,24,1,1,2,5,4
216,10,2014,1771,2,8,2,40,2,1,3,1,3,4,0,0,6,2,1,4,22,1,1,2,5,4
217,4,2014,1778,2,1,1,100,3,1,0,0,0,0,0,0,0,1,1,10,55,1,1,5,5,2
218,4,2014,1779,2,6,2,50,2,2,3,1,3,4,0,0,3,1,1,5,24,1,1,2,5,2
219,1,2014,1788,2,4,1,50,2,3,1,1,2,1,1,2,3,1,1,5,24,1,2,1,5,1
220,1,2014,1788,2,4,1,50,2,3,1,1,2,1,1,2,3,2,1,4,22,1,2,1,5,1
221,3,2014,1794,2,5,2,60,2,3,2,1,3,2,0,0,3,1,1,5,27,1,1,3,5,1
222,3,2014,1794,2,5,2,60,2,3,2,1,3,2,0,0,3,2,1,6,30,1,1,2,5,1
223,8,2014,1796,2,2,1,110,3,3,3,2,3,2,0,0,4,1,1,12,58,1,2,1,5,3
224,4,2014,1802,1,6,2,30,1,3,3,1,3,4,0,0,2,1,1,3,15,1,1,2,5,2
225,7,2014,1806,2,6,4,80,2,3,1,1,3,1,1,2,3,1,1,3,17,1,2,1,6,3
226,12,2014,1811,2,3,1,80,2,4,1,1,3,1,1,2,3,1,1,3,20,2,1,3,5,4
227,10,2014,1823,2,5,2,170,4,4,1,3,3,2,0,0,2,1,1,15,65,2,1,3,5,4
228,7,2014,1844,2,5,2,170,4,1,3,2,1,2,0,0,6,1,1,16,72,3,2,1,5,3
229,7,2014,1844,2,5,2,170,4,1,3,2,1,2,0,0,6,2,1,16,72,3,2,1,5,3
230,7,2014,1844,2,5,2,170,4,1,3,2,1,2,0,0,6,3,1,16,72,3,2,1,5,3
231,7,2014,1869,1,2,1,150,4,2,3,0,0,3,0,0,0,1,1,15,63,1,2,1,2,3
232,8,2014,1873,2,3,1,180,4,4,3,0,0,2,0,0,0,1,1,17,77,1,1,2,5,3
233,1,2014,1890,2,4,3,30,1,2,3,0,0,3,0,0,0,1,1,3,20,1,2,1,5,1
234,1,2014,1890,2,4,3,30,1,2,3,0,0,3,0,0,0,2,1,3,20,1,2,1,5,1
235,4,2014,1899,2,2,1,120,3,3,3,0,0,3,0,0,0,1,1,9,53,2,1,2,5,2
236,1,2014,1903,1,1,1,170,4,1,0,0,0,0,0,0,0,1,1,17,77,8,1,4,5,1
237,11,2014,1918,2,4,2,40,2,3,1,1,3,1,1,2,3,1,1,5,23,1,1,3,5,4
238,4,2014,1932,2,3,1,10,1,2,1,2,3,1,1,2,5,1,1,2,7,5,1,2,5,2
